name,count
Australia,44
Willow Creek,40
Wattle Creek,10
Outback,10
Australian Outback,9
Australian outback,7
Whispering Woods,6
Rainbow Reef,5
Willow Springs,5
Willowbend,5
Coral Bay,4
Willow Bend,4
Great Barrier Reef,4
bushland,3
Rainbow Falls,3
Eucalyptus,3
Wombat Creek,2
gum tree,2
Uluru,2
Gumnut Grove,2
Whispering Pines,2
The Outback,2
The Bush,2
s house,2
bush,2
Blue Mountains,2
Wattle Grove,2
Bushland,2
Wildflower Woods,1
Singing River,1
Misty Mountains,1
Whispering Wattle Tree,1
Hidden Hollow,1
Quokka Creek,1
Mount Quokka,1
Whispering Lagoon,1
Dandenong Ranges,1
Dandenong,1
Blue Gum Woods,1
Dreamland,1
Mountain of Legends,1
bush park,1
Heartwood Glen,1
Rainbow Creek,1
Dreamtime,1
Kookaburra Creek,1
Cave of Shadows,1
Land of Puddles and Rainbows,1
Grand Old Gum,1
Queensland,1
The Hidden Waterfall of Whimsy,1
Rainbow Stream,1
Old Watering Hole,1
Willowbrook,1
Riverbank,1
Great Rock,1
Waterfall of Wishes,1
Silver Gum Tree,1
Grove,1
Talia,1
Kangaroo,1
"Burrawong  
Outback",1
Eucalyptus forest,1
Giant,1
s Head,1
Bunyip Creek,1
Rainbow Cave,1
eucalyptus tree,1
sparkling river,1
wildflower field,1
Great Australian Outback,1
Gumtree Realm,1
Whispering Wattle Grove,1
Twilight Tanglewood,1
Dreaming River,1
wildlife sanctuary,1
The Creek,1
Eucalyptus Grove,1
Singing Rocks,1
Boondara Creek,1
creek,1
Yarramalong Creek,1
The bush,1
Mia,1
The decoy burrow,1
Melbourne,1
Yandilla,1
Australian,1
Wishing Forest,1
Misty Mountain,1
Whispering Forest,1
Crystal Cave,1
Great Gum Tree,1
Coral Sea,1
Cave of Colors,1
Singing Gum Tree,1
Malleewood,1
Mallee,1
Mallee tree,1
Tjilpi,1
Dreamstone,1
eucalyptus,1
Bundaberg,1
Willow,1
s Farm,1
The Enchanted Grove,1
The Nearby Hill,1
The Secret Waterhole,1
Great Outback,1
no specific place name mentioned for the rock formation,1
no specific place name mentioned for the cave,1
no specific place name mentioned for the coast,1
no specific place name mentioned for the cove,1
Rainbow Lizard,1
eucalyptus trees,1
Gumbbidge Creek,1
"Willow Bend  
Australian bush  
Eucalyptus trees  
Big Rock  
Kangaroo  
Bush  
Glade  
Wildflowers",1
Kookaburra Cove,1
Willow Gum,1
Riverbend,1
Rainbow Rock,1
eucalyptus forest,1
Wondai,1
Whispering Rock,1
Crystal Falls,1
Australian bush,1
Garden,1
Cave of Whispers,1
Meadow of Dreams,1
Willowbank,1
Wattlewood Creek,1
Eucalyptus Explorers,1
Guardians of the Whispering Woods,1
Wattle Creek Elders,1
river,1
Sandy Cove,1
Whispering Cave,1
Abyssal Trench,1
Coral Kingdom,1
Nepean River,1
Creek,1
Great Desert Flower,1
big red rock hill,1
Sunny Cove,1
Puddleby,1
Calypso Creek,1
Willowood,1
Sacred Waterhole,1
The creek,1
The old gum tree,1
The cave,1
The Whispering Falls,1
The Secret Grove,1
The heart of the bush,1
Great Gumtree,1
Sandy Plains,1
Rocky Mountains,1
River of Dreams,1
Treetop Glen,1
Rainbow Waterfall,1
Heart of the Desert,1
Singing Stones,1
Forest of Whispers,1
Mountain of Stars,1
Cliffs of Time,1
Rainbow Realm,1
Sunny Glen,1
Koala Haven,1
Jack McAllister,1
Goldleaf Grove,1
Treetop Tribe,1
Bush,1
River,1
Forest,1
Cave,1
The Hidden Waterfall,1
Rainbow Bay,1
Old Man McGregor,1
boab tree,1
Jindabyne,1
"Wattle Creek  
Australia  
Great Platypus Pool  
Big Rock",1
Willow Lake,1
"Wattle Creek  
Whispering Meadow  
River of Reflection  
Enchanted Forest",1
Bilby Bluff,1
Jasper,1
The park,1
