name,count
Ukraine,50
Whispering Woods,31
Enchanted Forest,13
Village,13
Lviv,11
Zelenka,7
Carpathian Mountains,5
Cave of Echoes,5
Dnipro River,4
Oak Tree,4
River,4
Oksana,3
Meadow,3
Woods,3
Crystal Cave,3
Great Oak,3
The Enchanted Forest,3
s lair,2
Forest,2
Clearing,2
Vysokyi,2
Enchanted Meadow,2
Hollow Tree,2
Forest of Whispers,2
Stream,2
Zelenivka,2
s village,2
Hill,2
Whispering Forest,2
River of Reflection,2
Carpathians,2
Tree of Dreams,2
tr,2
Sunny Meadows,1
Great Sea,1
The Starry Realm,1
The Mountain of Shadows,1
Crystal Blossom,1
Zoryana,1
Crystal Caves,1
Rainbow Meadow,1
Lake of Echoes,1
Singing Forest,1
Nightingale,1
s Nest,1
Enchanted Fountain,1
Misty Mountain,1
Land of Dreams,1
Vyshyvanka,1
Festival of Colors,1
Borislav,1
Olena,1
Village of Sunflowers,1
Flower Realm,1
Crystal Pool,1
Kingdom of Colors,1
Fields,1
Bonfire,1
Sunflower Fields,1
Golden Sunflower,1
Clearing of Wishes,1
Zeleny,1
Magical Forest,1
Mountain of Dreams,1
Lystopad,1
Glimmering Lake,1
Starlit Meadow,1
Vysoky,1
Castle,1
Rainbow Waterfall,1
Misty Hill,1
Kamianets,1
Glade of Wishes,1
Celestial Ball,1
Stryiskyi Park,1
Pond of Reflections,1
Singing Stream,1
Glimmering Glade,1
Shadow Hollow,1
Silver Stream,1
Old Oak Tree,1
Lysenka,1
Polissia,1
Golden Field,1
Garden,1
Festival of Joy,1
Svitlyi,1
Singing River,1
Shadowy Cave,1
Land of Colors,1
Valley,1
Oak tree,1
Zelenograd,1
Grizzle,1
s cave,1
The Magical Forest,1
The Elder Tree,1
"Zelenka  
Whispering Woods  
Crystal Caves  
Valley of Shadows",1
The Golden Sunflower,1
The sparkling river,1
"Zeleny Lugh  
Mount Shcheblivka",1
Nyzhniy Kihot,1
Valley of the Wolves,1
Whispering Caves,1
Tree of Life,1
Vysokyi Luh,1
Enchanted Woods,1
Misty Meadow,1
Waterfall of Echoes,1
Labyrinth of Thorns,1
Lake,1
enchanted forest,1
river,1
big oak tree,1
Whispering Oak,1
Sunflower Hill,1
Sunflower Forest,1
"Zeleny  
Whispering Woods  
Stream of Dreams  
Cave of Echoes",1
Zorya,1
Mriyka,1
Land of Firefly Dreams,1
The glade,1
Ancient oak tree,1
Shimmering lake,1
Land of Wishes,1
Forest of Shadows,1
village,1
Flowering Meadow,1
Caves of Echo,1
Valley of Shadows,1
Sunflower Garden,1
Enchanted Oak,1
Grand Meadow,1
Riverbank,1
Whispering Pines,1
Silver Mountain,1
Crystal Flower,1
Singing Waterfall,1
Boris,1
Meadow of Memories,1
The village,1
The meadow,1
The woods,1
The clearing,1
Glade of Whispers,1
Shadowed Corner,1
Land of Sunflowers,1
Hollow Hill,1
Mountain Cave,1
Tysia,1
Forest of Echoes,1
Zalissia,1
The Enchanted Woods,1
The forest,1
The cave,1
Pond,1
River of Whispers,1
Lost Grove,1
Crystal Star,1
Zeleny V,1
Tree of Wisdom,1
Heart of Zeleny V,1
The sorcerer,1
Ternopil,1
Zazimya,1
Lake Ternopil,1
Solana,1
Star Kingdom,1
Cossack,1
Mykola,1
Ancient trees,1
Valley of the wise old trees,1
Earth,1
Water,1
The Enchanted Forest of Lviv,1
