name,count
Israel,60
Galilee,18
Olive Grove,14
Mediterranean Sea,11
Jerusalem,11
Village,8
Olive Tree,5
Negev Desert,4
Forest of Whispers,4
River,4
The village,4
Cave of Whispers,3
Mount Meron,3
Zichron Yaakov,3
Mediterranean,3
Olive tree,3
Forest,3
Ein Karem,3
Tzfat,3
Miriam,2
Zfat,2
Sea of Galilee,2
Mountains,2
Park,2
Kiryat Shmona,2
Cave,2
Old City,2
Enchanted Forest,2
The village square,2
The hills,2
Kfar Nitzan,2
The cave,2
Dead Sea,2
Village Square,2
Starry Land,2
Whispering Grove,1
The Enchanted Bookshop,1
s Bookshop,1
Sky Garden,1
Dark Cave,1
Misty Valley,1
Safed,1
Bedouin,1
Ancient Ruins,1
Twilight Sky,1
Valley of Whispers,1
The Hidden Valley,1
The Forest of Secrets,1
Desert,1
Jordan River,1
Mount Gila,1
The Land of Wishes,1
Mahane Yehuda Shuk,1
Garden of Friendship,1
The River Cave,1
Garden of Peace,1
Yeruham,1
Shorashim,1
Nahalim,1
Valley of the Singing Stones,1
Cliff of Courage,1
Olive Kingdom,1
Valley of Echoes,1
Crystal Caves,1
Mahane Yehuda Market,1
Nachlaot,1
Ben Yehuda Street,1
Yemin Moshe,1
Jaffa Gate,1
Cave of Echoes,1
Valley of Stars,1
Olive grove,1
"Galilee  
Cave of Whispers  
Lake of Echoes  
Mountain of Dreams",1
The Land of Dreams,1
The marketplace,1
Nahalal,1
Judean Hills,1
River Hatzbani,1
The Wise Olive,1
The Singing Stones,1
The mountains,1
The river,1
The woods,1
The field,1
The glade,1
Oranim,1
Neve Tzedek,1
Talia,1
Eilat,1
Shabbat,1
Bubbie Miriam,1
Amir,1
Secret Garden,1
Kotel,1
Western Wall,1
The grove,1
referred to as the olive grove,1
unnamed specific village,1
Moshav Tzafon,1
Land of Wishes,1
Whispering Woods,1
Olivea,1
Menashe,1
"Galilee  
Olive Kingdom  
Shadow Woods  
River of Reflections",1
Ein Kerem,1
Rosh Pina,1
Northern Israel,1
Great Mountain,1
Garden of Dreams,1
Tree of Wishes,1
Carmel Mountains,1
Pond,1
Ein Zivan,1
Kfar Tzofim,1
Waterfall,1
Field of wildflowers,1
Garden,1
Olive Underworld,1
Meadow,1
Masada,1
The old stone bridge,1
The small park,1
The fountain,1
s house,1
The olive tree,1
Kfar Shalem,1
The Olive Grove,1
The Mountain,1
The Cave,1
The Cave of Echoes,1
Crystal River,1
The garden,1
The forest,1
The hill,1
Ma,1
ale Adumim,1
Kfar Ziv,1
Caves of Echoes,1
Library,1
Land of Dreams,1
Heart Tree,1
Ein Gedi,1
Judean Desert,1
Kofi,1
Dreamcatcher,1
Ein Yitzhak,1
Land of Olive Dreams,1
repeated,1
Mountain,1
