name,count
Petersburg,37
St,33
Moscow,30
Neva River,15
Siberia,13
Saint Petersburg,8
Zarechye,7
Russia,5
Nevsky Prospekt,4
Vitebsky Railway Station,4
Tsarskoye Selo,3
Leningrad,3
Kazan,3
Vysotsk,3
Winter Palace,3
Sokolovka,3
Nizhny Novgorod,2
Nevsky Prospect,2
Ural Mountains,2
Volga River,2
Kazakhstan,2
Sretensk,2
Volga,2
Ivanovo,2
Verkhoyansk,2
Petrovka,2
Village,2
Velikiy Ustyug,2
City,2
Vysokovo,2
Zarechensk,1
Velikiy Bor,1
Ural,1
referring to the Ural mountains,1
Anna,1
s village,1
not specifically named,1
but referenced as where Anna lives,1
Hermitage,1
Zelenogorsk,1
Kaluga,1
Imperial Academy of Arts,1
Siverskoye,1
Kazansky Station,1
Arbat,1
Smolensk,1
Palace Square,1
Golikovs,1
Golikova,1
Caf,1
de l,1
Europe,1
Ivanovka,1
Zimovka,1
Vyshegorod,1
The schoolhouse,1
Neva,1
Peter and Paul Fortress,1
Volkov estate,1
Klyuch,1
Volkovka,1
Yekaterinburg,1
Izhevsk,1
Arkhangelsk,1
The Frosty Mug,1
Sokolniki,1
Ryazan,1
Vyborg,1
Gulf of Finland,1
Kresty,1
Vyshny Volochyok,1
Vysokaya,1
Vyshka,1
Sokolov,1
Volgograd,1
Kolyvan,1
Altai Mountains,1
House of Forgotten Dreams,1
Novoselki,1
"Petersburg  
Tsarskoye Selo",1
Kiev,1
Chernobyl,1
Ivanov,1
not a place,1
but the last name of the character,1
Nearby village,1
general term,1
not a specific place,1
"Vyshny Volochyok  
St",1
The Village,1
Kirov,1
Siberian wilderness,1
River,1
Yelovka,1
Taiga,1
Old Schoolhouse,1
Whispering Pines,1
Fontanka River,1
Zimnogorsk,1
Urals,1
Sibirsk,1
"Kaluga  
Moscow  
St",1
Zarechnoye,1
Sokolovo,1
Laskovka,1
Kurgan,1
Petrozavodsk,1
Lake Onega,1
Zimnyaya,1
Petushki,1
Paris,1
Vysokovo manor,1
Petrovich line,1
Gorodets,1
Novgorod,1
Volkhov River,1
Voronezh,1
Don River,1
