name,count
Lagos,57
Nigeria,8
Abuja,8
Enugu,7
Surulere,6
London,6
Umuahia,5
Victoria Island,4
United States,4
Balogun Market,4
Ibadan,4
Ijebu,4
Umuofia,3
Iwo,3
Abeokuta,3
Olumo Rock,3
Adebayo,3
implied,3
not a specific name,3
but a place mentioned,3
Jebba,2
Niger River,2
Oyo,2
River Niger,2
America,2
Idanre,2
Ogbomosho,2
Ikorodu,2
Ode,2
Obanla,2
Eko,2
Umudi,1
"Akwu  
Niger",1
Ajegunle,1
Ajao Estate,1
Ayetoro,1
Zaria,1
Oyo State,1
Benue,1
Niger Delta,1
Rivers State,1
Abonema,1
Port Harcourt,1
Aso Rock,1
Enugu State,1
Ife,1
Ekwulobia,1
Umueze,1
Ekwensi,1
River Olokun,1
Aba,1
Ikenne,1
Ogun State,1
"Agbor  
Lagos",1
Akwa Ibom,1
Akpan,1
Ado,1
Ekiti,1
Udo,1
Okoko,1
"Eko  
Lagos",1
"Agbede  
Lagos",1
Igbodo,1
"Agbani  
Lagos",1
France,1
"Ode  
Lagos  
Ijebu",1
Akun,1
UK,1
Irede,1
Epe,1
Nwachukwu,1
village,1
the village square,1
community center,1
old school,1
mention of the village,1
Akinyemi,1
Ikoyi,1
Okwudili,1
Sahara,1
unspecified village,1
National Museum,1
Ilesha,1
Iworo,1
Atlantic,1
Owo,1
Akwukwo,1
Ido,1
Olokun,1
Ilashe,1
Ogbo,1
Aso,1
Kogi,1
Ajao Village,1
Ijora,1
Yara,1
Obatala,1
Nsukka,1
