name,count
Mumbai,31
Delhi,25
Varanasi,22
Ganges,6
Rajasthan,5
Kashi,5
Kalapathar,4
Maharashtra,4
Chikmagalur,4
Jaipur,4
Jaisalmer,3
Kalyanpur,3
Uttarakhand,3
Pune,3
Gaya,3
specific name not provided,3
Assi Ghat,2
Kharagpur,2
Kolkata,2
Himachal,2
Goa,2
United States,2
Banaras Hindu University,2
Chennai,2
Bangalore,2
Kerala,2
Karnataka,2
"Kashi  
Mumbai  
Ganges",1
Pushkar,1
"Varanasi  
Delhi",1
Thar Desert,1
Unnamed small village,1
West Bengal,1
Suryanagari,1
Arjun,1
neighboring village,1
implied,1
not explicitly named,1
Taalpur,1
Benares,1
"Kumbh  
Bangalore",1
Adivasi,1
Manali,1
Joginder Nagar,1
Kanchipuram,1
"Kalapathar  
Maharashtra",1
Mandvi,1
Chandni Chowk,1
Tirthan Valley,1
Khatikheda,1
Bharatnatyam,1
"Chhatarpur  
Delhi",1
Karadi,1
Keshavpur,1
Rameshwaram,1
Dhanbad,1
Udaipur,1
Pithoragarh,1
Akarsh,1
"Sagar  
Mumbai  
Aurangabad",1
Suryapur,1
Yamuna,1
Tirthan,1
Himachal Pradesh,1
Bengaluru,1
Nallur,1
Bhairavpur,1
Bhagatpur,1
Kutch,1
Chamunda,1
Malgudi,1
Dhanpur,1
Kaveri,1
Chandpur,1
Cochin,1
Kanyakumari,1
Chiragpur,1
Gadiya,1
Vellore,1
Madhubani,1
Bihar,1
Varanasi Junction,1
Paharganj,1
India Gate,1
Delhi University,1
Mangalpur,1
Kashi Vishwanath Temple,1
Chitra,1
Saranpur,1
Shantipur,1
"Kharakpur  
Ghatkopar",1
Dadar,1
station,1
Western Ghats,1
village,1
Ancestral home,1
Pond,1
Malhar,1
Matheran,1
Kedar,1
Hampi,1
Vijayanagara,1
Banswara,1
"Chhota Khera  
Mumbai",1
Dashashwamedh,1
"Chandpur  
Delhi",1
Bhavanipur,1
Fatepur,1
Uttar Pradesh,1
Vasantpur,1
Taj Mahal,1
Pahalgam,1
Jammu and Kashmir,1
Lidder River,1
Jhelum River,1
Chitrakoot,1
The city,1
not specifically named in the story,1
Chhoti Kali,1
Mandu,1
Madhya Pradesh,1
Bodh Gaya,1
Howrah Station,1
Kanyapur,1
Mandla,1
Amrapur,1
Sangam,1
