name,count
Oslo,56
Norway,16
Lofoten,9
Fjordheim,9
r,8
H,8
lesund,5
Henningsv,4
ya,4
Lyngen,3
Troms,3
The fjord,3
Fl,3
Lofoten Islands,3
Nordheim,3
rnes,3
Nordsund,2
Reine,2
Telemark,2
y,2
Old Bergen,2
Fjordland,2
The island,2
R,2
ros,2
Nordland,2
Bergen,2
rv,2
Nordfjell,2
Fjord,2
m,2
Vinterdal,2
N,2
yfjord,2
Sundvik,2
implied location,2
not explicitly named,2
B,2
Lunde,1
Verdals,1
ra,1
Lyngseidet,1
V,1
Finse,1
Kvale cabin,1
Midsund,1
Erik,1
s village,1
not specifically named,1
Siljan,1
Tvedestrand,1
Fjordhaven,1
Hellesylt,1
Bryggen,1
yen,1
"konstad  
Oslo",1
Skj,1
konshavn,1
Lyngdal,1
Lysheim,1
Hemsedal,1
fjord,1
Nidaros,1
Vassfjellet,1
Northern Norway,1
S,1
gen,1
Arctic Ocean,1
Nusfjord,1
Lofotvik,1
Vestv,1
g,1
Stordal,1
Skarven,1
Lofthus,1
konfjell,1
Skjoldheim,1
Gr,1
nerl,1
kka,1
Havnvik,1
M,1
nestr,1
le,1
Voss,1
Sognefjord,1
Aurland,1
Norddal,1
Stjernen,1
boat,1
Kverna,1
caf,1
Skibotn,1
Lyngen Alps,1
Storfjord,1
Lyngvik,1
Skjolden,1
Kval,1
Vard,1
Br,1
nn,1
ysund,1
kanvik,1
Erik Lunde,1
Lysefjord,1
logaland,1
Arctic Circle,1
vik,1
the cove,1
Eidsfjord,1
Storfossen,1
Glesv,1
Solheim,1
Whispering Woods,1
Cave of Echoes,1
Forest of Whispers,1
Realm of Shadows,1
Fjellheim,1
Jotunheimen,1
Sk,1
rdal,1
Lofnes,1
Norwegian mountains,1
Liv,1
s house,1
Fjellet,1
Lofjord,1
Lyngenfjord,1
Undredal,1
Stokk,1
Nordvik,1
Nordskogen,1
Vik,1
"rnes  
Oslo",1
Solund,1
North Cape,1
Faroe Islands,1
Senja Island,1
Vester,1
len,1
Leknes,1
keland,1
vanger,1
