Given Name,Amount,Position
"ISLA","112","1"
"CHARLOTTE","104","2"
"OLIVIA","86","3"
"AVA","77","4"
"IVY","73","5"
"AMELIA","67","=6"
"GRACE","67","=6"
"HAZEL","67","=6"
"HARPER","64","=9"
"MIA","64","=9"
"LILY","61","11"
"ELLA","60","12"
"EVELYN","56","=13"
"EVIE","56","=13"
"MATILDA","56","=13"
"ISABELLA","55","=16"
"WILLOW","55","=16"
"DAISY","54","18"
"MILA","52","=19"
"VIOLET","52","=19"
"LAYLA","50","=21"
"SIENNA","50","=21"
"ELSIE","49","=23"
"MILLIE","49","=23"
"ELLIE","48","=25"
"SOPHIE","48","=25"
"MAEVE","44","27"
"ARIA","42","=28"
"LUCY","42","=28"
"RUBY","42","=28"
"SOPHIA","42","=28"
"PENELOPE","40","32"
"AYLA","39","=33"
"CHLOE","39","=33"
"FREYA","39","=33"
"SOFIA","38","=36"
"ZOE","38","=36"
"ELEANOR","37","=38"
"FLORENCE","37","=38"
"EMILIA","36","40"
"AUDREY","34","=41"
"HANNAH","34","=41"
"MARGOT","34","=41"
"FRANKIE","33","=44"
"ZARA","33","=44"
"GEORGIA","32","=46"
"POPPY","32","=46"
"BILLIE","31","=48"
"LUNA","31","=48"
"SADIE","31","=48"
"SCARLETT","31","=48"
"ALICE","30","=52"
"HARRIET","30","=52"
"ISABELLE","30","=52"
"ROSIE","30","=52"
"STELLA","29","56"
"AURORA","28","=57"
"EMILY","28","=57"
"MAGGIE","28","=57"
"LOTTIE","27","=60"
"PIPPA","27","=60"
"SUMMER","27","=60"
"ADELINE","26","=63"
"DELILAH","26","=63"
"PHOEBE","26","=63"
"MAISIE","25","=66"
"OLIVE","25","=66"
"HALLIE","24","=68"
"MACKENZIE","24","=68"
"REMI","23","70"
"ELIANA","22","=71"
"ELIZA","22","=71"
"EVA","22","=71"
"MAYA","22","=71"
"ABIGAIL","21","=75"
"AUBREY","21","=75"
"ELOISE","21","=75"
"LOLA","21","=75"
"MABEL","21","=75"
"NINA","21","=75"
"PEYTON","21","=75"
"IMOGEN","19","=82"
"LILAH","19","=82"
"EMMA","18","=84"
"LARA","18","=84"
"EDEN","17","=86"
"ESTHER","17","=86"
"GRACIE","17","=86"
"PIPER","17","=86"
"RILEY","17","=86"
"SAVANNAH","17","=86"
"ANNABELLE","16","=92"
"HARLOW","16","=92"
"LYLA","16","=92"
"MADELINE","16","=92"
"BROOKLYN","15","=96"
"CALLIE","15","=96"
"GIA","15","=96"
"JASMINE","15","=96"
"NORA","15","=96"
"OLIVER","155","1"
"HENRY","112","2"
"LEO","109","3"
"NOAH","92","4"
"THEODORE","87","5"
"LUCA","85","6"
"ELIJAH","84","7"
"CHARLIE","81","8"
"WILLIAM","76","9"
"ARCHIE","73","=10"
"JACK","73","=10"
"HARVEY","70","=12"
"HUDSON","70","=12"
"LEVI","66","14"
"OSCAR","63","15"
"LUCAS","60","16"
"SEBASTIAN","56","17"
"ARTHUR","55","=18"
"HARRISON","55","=18"
"ARCHER","54","20"
"ARLO","53","=21"
"HARRY","53","=21"
"HUGO","53","=21"
"GEORGE","50","=24"
"LIAM","50","=24"
"MAX","50","=24"
"JAMES","49","=27"
"MASON","49","=27"
"LOUIS","48","=29"
"THOMAS","48","=29"
"ALEXANDER","46","=31"
"EDWARD","46","=31"
"XAVIER","44","33"
"FINN","43","34"
"ETHAN","42","35"
"DARCY","41","=36"
"JASPER","41","=36"
"AUSTIN","38","=38"
"RILEY","38","=38"
"THEO","38","=38"
"SONNY","37","41"
"BODHI","36","=42"
"KAI","36","=42"
"ARI","34","=44"
"LACHLAN","34","=44"
"BILLY","33","=46"
"MILES","33","=46"
"COOPER","32","=48"
"ELI","32","=48"
"HUNTER","32","=48"
"SAMUEL","32","=48"
"EZRA","31","=52"
"HAMISH","31","=52"
"LINCOLN","31","=52"
"BENJAMIN","30","=55"
"GRAYSON","30","=55"
"LOGAN","30","=55"
"LOUIE","30","=55"
"PATRICK","30","=55"
"JACKSON","29","=60"
"JORDAN","29","=60"
"PARKER","29","=60"
"ALFIE","28","63"
"ASHER","27","=64"
"CARTER","27","=64"
"LUKA","27","=64"
"MATTEO","27","=64"
"FELIX","26","=68"
"ISAAC","26","=68"
"MUHAMMAD","26","=68"
"ANGUS","25","=71"
"AUGUST","25","=71"
"OAKLEY","25","=71"
"RYAN","25","=71"
"FLETCHER","23","=75"
"LENNY","23","=75"
"RORY","23","=75"
"WYATT","23","=75"
"JAXON","22","=79"
"MYLES","22","=79"
"OWEN","22","=79"
"FINLEY","21","=82"
"JAYDEN","21","=82"
"JUDE","21","=82"
"MARCUS","21","=82"
"TATE","21","=82"
"BEAU","20","=87"
"CHASE","20","=87"
"FLYNN","20","=87"
"OLLIE","20","=87"
"SPENCER","20","=87"
"CONNOR","19","=92"
"JACOB","19","=92"
"OTIS","19","=92"
"RIVER","19","=92"
"RYDER","19","=92"
"ALFRED","18","=97"
"ELIAS","18","=97"
"GABRIEL","18","=97"
"HUXLEY","18","=97"
