filename,sentiment,count
AD,fear,5
AD,joy,27
AD,sadness,3
AD,surprise,1
AE,anger,3
AE,fear,4
AE,joy,33
AE,sadness,1
AE,surprise,1
AF,anger,1
AF,fear,2
AF,joy,32
AF,sadness,2
AG,fear,4
AG,joy,36
AG,sadness,2
AI,anger,1
AI,fear,5
AI,joy,32
AI,love,1
AI,sadness,1
AL,fear,5
AL,joy,35
AL,sadness,2
AM,anger,1
AM,fear,4
AM,joy,34
AM,surprise,1
AO,fear,4
AO,joy,38
AO,surprise,2
AQ,anger,1
AQ,fear,21
AQ,joy,10
AQ,sadness,1
AR,fear,5
AR,joy,20
AR,love,2
AR,sadness,3
AS,joy,44
AS,surprise,1
AT,fear,7
AT,joy,27
AT,love,1
AT,sadness,5
AU,anger,1
AU,fear,1
AU,joy,30
AU,love,4
AU,sadness,1
AW,fear,3
AW,joy,37
AW,sadness,3
AX,fear,5
AX,joy,29
AZ,anger,1
AZ,fear,1
AZ,joy,40
AZ,surprise,2
BA,fear,3
BA,joy,31
BA,sadness,3
BB,fear,2
BB,joy,40
BB,sadness,1
BD,fear,2
BD,joy,36
BD,sadness,1
BD,surprise,1
BE,fear,7
BE,joy,21
BE,sadness,2
BF,fear,1
BF,joy,45
BF,sadness,1
BG,anger,3
BG,fear,6
BG,joy,24
BG,love,1
BG,sadness,1
BG,surprise,4
BH,anger,1
BH,fear,2
BH,joy,43
BI,fear,1
BI,joy,39
BJ,anger,1
BJ,fear,2
BJ,joy,38
BJ,surprise,2
BL,fear,8
BL,joy,20
BL,sadness,2
BL,surprise,1
BM,fear,9
BM,joy,25
BM,sadness,1
BN,anger,2
BN,fear,1
BN,joy,40
BN,love,1
BN,surprise,1
BO,anger,1
BO,fear,2
BO,joy,37
BO,surprise,1
BR,anger,1
BR,fear,1
BR,joy,31
BR,love,1
BR,sadness,1
BR,surprise,1
BS,fear,3
BS,joy,37
BS,love,1
BT,fear,2
BT,joy,44
BT,love,1
BW,fear,1
BW,joy,39
BY,anger,2
BY,fear,10
BY,joy,25
BY,sadness,1
BY,surprise,3
BZ,fear,5
BZ,joy,39
BZ,sadness,1
CA,fear,4
CA,joy,33
CA,love,3
CA,sadness,3
CC,fear,2
CC,joy,39
CC,surprise,1
CD,anger,2
CD,fear,5
CD,joy,26
CD,surprise,1
CF,anger,1
CF,fear,5
CF,joy,35
CF,surprise,1
CG,anger,2
CG,fear,1
CG,joy,29
CG,surprise,1
CH,anger,1
CH,fear,3
CH,joy,29
CH,surprise,1
CI,fear,2
CI,joy,42
CI,sadness,1
CK,joy,42
CK,love,1
CK,sadness,1
CL,fear,2
CL,joy,32
CL,sadness,1
CL,surprise,3
CM,fear,1
CM,joy,39
CN,fear,4
CN,joy,31
CN,surprise,1
CO,anger,1
CO,fear,3
CO,joy,35
CO,sadness,1
CO,surprise,2
CR,fear,4
CR,joy,38
CU,anger,2
CU,fear,1
