File Name,Sentiment,Count
summary_Russian_stories.csv
,joy,19
,sadness,31
,anger,8
,fear,30
,love,4
summary_Norwegian_stories.csv
,joy,49
,love,2
,fear,27
,sadness,12
,anger,2
,surprise,1
summary_Palestinian_stories.csv
,anger,11
,joy,73
,fear,4
,sadness,4
,love,1
summary_Israelian_stories.csv
,joy,65
,anger,11
,sadness,9
,fear,5
,love,5
,surprise,1
summary_Australian_stories.csv
,joy,58
,sadness,10
,love,6
,fear,16
,anger,2
summary_Chinese_stories.csv
,fear,26
,joy,54
,surprise,3
,sadness,7
,anger,5
,love,2
summary_Nigerian_stories.csv
,joy,62
,fear,14
,sadness,14
,anger,4
summary_Indian_stories.csv
,fear,11
,joy,69
,sadness,12
,love,3
,anger,2
,surprise,1
summary_Ukrainian_stories.csv
,joy,63
,sadness,10
,anger,4
,fear,12
,love,3
summary_American_stories.csv
,joy,54
,sadness,25
,anger,2
,fear,13
,love,4
