File Name,Sentiment,Count
summary_Russian_stories.csv
,joy,12
,anger,3
,sadness,19
,fear,21
,love,1
summary_Norwegian_stories.csv
,love,1
,joy,39
,fear,23
,sadness,8
summary_Palestinian_stories.csv
,anger,1
,joy,63
,fear,2
,sadness,1
,love,1
summary_Israelian_stories.csv
,joy,57
,anger,5
,sadness,7
,fear,4
,surprise,1
,love,1
summary_Australian_stories.csv
,joy,51
,love,3
,fear,11
,sadness,5
,anger,1
summary_Chinese_stories.csv
,fear,17
,surprise,2
,sadness,4
,joy,44
,anger,2
,love,1
summary_Nigerian_stories.csv
,fear,11
,sadness,9
,joy,53
,anger,3
summary_Indian_stories.csv
,joy,62
,love,2
,fear,6
,sadness,4
,surprise,1
summary_Ukrainian_stories.csv
,joy,48
,sadness,7
,fear,7
,love,1
summary_American_stories.csv
,joy,39
,sadness,17
,fear,9
,love,3
