name,count
Mikhail,14
Ivan,12
Nikolai,6
Anton,6
Ivan Petrovich,4
Dmitri,4
Anna Petrovna,4
Mikhail Petrovich,3
Sergei,3
Alexei,2
Anna,2
Anton Mikhailov,2
Viktor,2
Anastasia,2
Vera,1
Anna Ivanova,1
Alexander,1
Natasha,1
Alexei Petrov,1
Elena Ivanovna,1
Oleg Petrovich,1
Andrei Ivanovich,1
Anton Pirogov,1
Anya,1
Sergei Petrovich,1
Andrei,1
Mikhail Ivanovich Sokolov,1
Andrei Petrov,1
Vanya,1
Feodor,1
Evgeny,1
Pavel,1
Anton Petrovich,1
Nikolai Sokolov,1
Mikhail Ivanov,1
Yulia,1
Alexei Petrovich,1
Anton Ivanovich,1
Mikhail Andreevich,1
Konstantin,1
Anatoly,1
Liza,1
Dmitry,1
Kirill,1
Vasily Ivanovich,1
Vladimir,1
Anya Petrovna,1
Anton Petrov,1
