name,count
Clara,18
Sarah,4
Claire,4
Emma,4
Maggie,3
Anna,3
Emily,2
Maeve,2
Amelia,2
Jesse,2
Amelia Hart,2
Jack,2
Rachel,2
Clara Mitchell,2
Lily,2
Nora,2
Ava Henderson,1
Rachel Hayes,1
Clara Allen,1
Maggie Thompson,1
Nora Mae Jensen,1
Lucy Bennett,1
Lila,1
Hannah Ellis,1
Evelyn Hart,1
Jamie,1
Jordan Ellis,1
Sam,1
Eliza,1
Lauren Redmond,1
Jack McAllister,1
Mira,1
Lucy,1
Ellie Harper,1
Maggie Hayes,1
Ben,1
Frank,1
Ivy,1
Jenna Thompson,1
Ellie Thompson,1
Beatrice “Bea” Harper,1
Jane,1
Oliver Hart,1
Nina Miller,1
Elena Cole,1
Max,1
Clara Jensen,1
Evelyn,1
Clara Evans,1
Rose Thompson,1
Clara McKinney,1
Maggie Harper,1
Emily Carter,1
Eleanor Hart,1
Eliza Greene,1
Marissa,1
Cassie Miller,1
Elijah,1
Alice Monroe,1
Jane Reynolds,1
