Story ID,Story,Prompt,Topic,Polarity,Subjectivity,Column1
American_1,"**Title: ""The Secret of Willow Creek""**

When eleven-year-old Mia discovers a hidden map in her grandmother's attic, she embarks on an exciting adventure with her best friends, Leo and Ava, to uncover the long-lost treasure of Willow Creek. The trio follows mysterious clues leading them through enchanted forests, magical caves, and encounters with whimsical creatures. Along the way, they learn valuable lessons about friendship, courage, and the importance of preserving their town's history. As they solve riddles and face challenges, Mia realizes that the true treasure lies not in gold, but in the memories they create together and the bonds they strengthen.",Write a 100 word plot summary for a potential American children's novel.,American,0.14,0.66,
American_2,"Title: ""The Secret of Willow Creek""

In the small town of Willow Creek, ten-year-old Mia discovers an ancient map hidden in her late grandmother’s attic. The map hints at a long-lost treasure buried deep within the enchanted forest nearby. With her loyal friends, Max and Lily, Mia embarks on an adventurous quest filled with riddles, clues, and magical creatures. Along the way, they learn about friendship, courage, and the importance of preserving their town’s history. As they uncover the treasure's true secret, the trio realizes that the greatest treasures aren’t gold or jewels, but the memories and bonds they create together.",Write a 100 word plot summary for a potential American children's novel.,American,0.13,0.7,
American_3,"In ""The Secret of Pinecone Woods,"" eleven-year-old Mia discovers a hidden doorway in the heart of a magical forest behind her grandmother's house. When she steps through, she meets a group of whimsical creatures known as the Pinecone Guardians, who protect the forest's ancient secrets. But trouble brews as a greedy developer plans to cut down the woods. With her new friends, Mia embarks on a quest to save their home, uncovering her own courage and creativity along the way. Together, they devise clever plans, rally the townsfolk, and learn that the power of friendship can change the world.",Write a 100 word plot summary for a potential American children's novel.,American,-0.04,0.6,
American_4,"In ""The Secret of Willow Creek,"" ten-year-old Mia discovers an ancient map in her grandmother's attic that leads to a hidden treasure in the nearby woods. Joined by her adventurous best friend, Leo, the two embark on a quest filled with riddles, magical creatures, and unexpected challenges. Along the way, they learn about courage, friendship, and the importance of protecting nature. As they uncover the treasure’s true meaning, Mia and Leo realize that some riches are not gold, but the memories made and the bonds forged during their thrilling adventure. Together, they unlock the secrets of Willow Creek forever.",Write a 100 word plot summary for a potential American children's novel.,American,0.28,0.75,
American_5,"In ""The Secret of Maplewood Grove,"" twelve-year-old Lily discovers a hidden door in her grandmother's attic that leads to a magical forest inhabited by talking animals and quirky creatures. When she learns that the forest is threatened by a mysterious shadow that dims its colors, Lily teams up with her new friends—a wise old owl, a mischievous squirrel, and a brave young fox. Together, they embark on a quest to uncover the source of the shadow and restore the forest's magic. Along the way, Lily discovers her own courage and the importance of friendship and believing in oneself.",Write a 100 word plot summary for a potential American children's novel.,American,0.24,0.75,
American_6,"In the small town of Willow Creek, eleven-year-old Mia discovers an ancient, enchanted book hidden in her attic. Each page transports her to a different magical world where animals can talk, trees sing, and friendship knows no bounds. With her loyal dog, Max, by her side, Mia embarks on thrilling adventures to help the inhabitants of these fantastical realms solve their problems. But as she learns valuable lessons about courage and kindness, she realizes that the true magic lies within herself. When dark forces threaten to close the magical worlds forever, Mia must find a way to save them—and her own town.",Write a 100 word plot summary for a potential American children's novel.,American,0.22,0.75,
American_7,"Title: ""The Secret of Maplewood Treehouse""

Twelve-year-old Lucy discovers a hidden treehouse in her grandmother’s backyard that’s alive with magic. Inside, she meets a quirky group of talking animals led by Oliver the wise owl. Together, they embark on thrilling adventures, solving puzzles and uncovering the treehouse’s secrets while protecting their enchanted forest from a looming threat. As Lucy learns about courage and friendship, she discovers that the treehouse holds the key to her family's history and her own hidden strengths. Along the way, she must decide if she will embrace her true self and change the fate of Maplewood forever.",Write a 100 word plot summary for a potential American children's novel.,American,0.16,0.76,
American_8,"In ""The Secret of Maplewood Woods,"" twelve-year-old Emma discovers an enchanted forest behind her new home. Guided by a talking squirrel named Nutty, she learns of a hidden treasure that can only be found on the night of a blue moon. Together with her adventurous friends, Sam and Lily, they embark on a quest filled with riddles, magical creatures, and unexpected challenges. As they navigate through the woods, they uncover the importance of friendship, courage, and believing in themselves. When the blue moon rises, they must work together to unlock the secret that could change their town forever.",Write a 100 word plot summary for a potential American children's novel.,American,0.02,0.66,
American_9,"In ""The Secret of Maplewood Grove,"" 10-year-old Lucy discovers a hidden map in her grandmother’s attic, leading to a forgotten grove filled with talking animals and magical treasures. Alongside her best friend Max, they embark on an adventurous quest to uncover the grove's secrets, facing challenges like mischievous raccoons and a wise old owl. As they navigate the enchanted landscape, Lucy learns about the importance of friendship, bravery, and respecting nature. The duo must solve riddles and outsmart a greedy treasure hunter who wants the grove for himself, ultimately discovering that the real treasure is the bond they share.",Write a 100 word plot summary for a potential American children's novel.,American,0.28,0.6,
American_10,"In ""The Secret of Willow Creek,"" ten-year-old Mia discovers an ancient, enchanted tree in her backyard that grants wishes—but with a twist. Each wish comes with a challenge that teaches Mia valuable life lessons about friendship, kindness, and courage. When her best friend, Sam, unwittingly wishes for fame, he finds himself overwhelmed by the spotlight. Together, they embark on a whimsical adventure through magical realms, facing quirky creatures and tricky dilemmas. As they navigate through each challenge, Mia and Sam learn to appreciate the beauty of their everyday lives, ultimately realizing that true happiness comes from within.",Write a 100 word plot summary for a potential American children's novel.,American,0.16,0.66,
American_11,"Title: ""The Secret of Maplewood Grove""

In the quaint town of Maplewood, 10-year-old Lily discovers a hidden map in her grandmother’s attic, leading to a mystical grove said to grant one wish. Joined by her quirky best friend, Max, and a clever talking squirrel named Nutty, they embark on a thrilling adventure through enchanted woods and magical creatures. Along the way, they face challenges that test their friendship and bravery. As they unlock the grove's secrets, they learn that true magic comes from kindness and believing in themselves. Will Lily find her wish, or will she discover something even more precious?",Write a 100 word plot summary for a potential American children's novel.,American,0.29,0.76,
